patent_number,type,tier,category,title,assignee,provenance,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
US11968460B2,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Image capture eyewear with auto-send,Snap Inc.,snap_filed,2018-05-01,2022-07-27,2024-04-23,2024-04-23,https://patentimages.storage.googleapis.com/84/01/ea/681ade65e2af51/US11968460.pdf,https://patents.google.com/patent/US11968460B2/en,"a processor configured to <b>assign</b> one or more recipients to each of the first recipient indicator and the second recipient indicator, cause the display system to distinctly present one of the first recipient indicator or the second recipient indicator, cause the camera to capture the image of the &hellip;"
US12401772B2,grant,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Headware with computer and optical element for use therewith and systems &hellip;,Snap Inc.,snap_filed,2011-05-11,2023-08-30,2025-08-26,2025-08-26,,https://patents.google.com/patent/US12401772B2/en,"An apparatus for mounting on a head including a frame, A face-wearable near-ocular optics and a micro-display for displaying data in front of the eyes is provided. A computing device is coupled to the micro-display. At least one sensor is coupled to the computing device for receiving biometric &hellip;"
US20220159178A1,application,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Automated eyewear device sharing system,Snap Inc.,snap_filed,2019-09-30,2022-01-31,2022-05-19,,https://patentimages.storage.googleapis.com/c1/c9/bc/7a1603028d05aa/US20220159178A1.pdf,https://patents.google.com/patent/US20220159178A1/en,"Systems, devices, media, and methods are described for capturing a series of raw images by portable electronic devices, such as wearable devices including eyewear, and automating the process of processing such raw images by a client mobile device, such as a smart phone, such automation including &hellip;"
US20230412780A1,application,Tier 1 — Core Spectacles,Eyewear hardware & form factor, Headware with computer and optical element for use therewith and systems &hellip;,Snap Inc.,snap_filed,2011-05-11,2023-08-30,2023-12-21,,https://patentimages.storage.googleapis.com/97/83/e0/75f75214e0c7b8/US20230412780A1.pdf,https://patents.google.com/patent/US20230412780A1/en,"An apparatus for mounting on a head including a frame, A face-wearable near-ocular optics and a micro-display for displaying data in front of the eyes is provided. A computing device is coupled to the micro-display. At least one sensor is coupled to the computing device for receiving biometric &hellip;"
US20240393887A1,application,Tier 1 — Core Spectacles,Head-worn interaction, Micro hand gestures for controlling virtual and graphical elements,Snap Inc.,snap_filed,2020-12-29,2024-08-08,2024-11-28,,https://patentimages.storage.googleapis.com/92/79/5d/7ec3653a083039/US20240393887A1.pdf,https://patents.google.com/patent/US20240393887A1/en,"<b>assign</b> a display order to the series of virtual elements; and present on the display the next virtual element according to the display order. 10 . The system of claim 8 , wherein the execution of the programming further configures the eyewear device to: <b>assign</b> a display order to the series of virtual &hellip;"
US20260072516A1,application,Tier 1 — Core Spectacles,Head-worn interaction, Non-dominant hand gestures to control microphone input on head-wearable device,Snap Inc.,snap_filed,2024-09-09,2024-09-09,2026-03-12,,,https://patents.google.com/patent/US20260072516A1/en,"A head-wearable device may provide an eXtended Reality (XR) experience that allows the user to control certain aspects of the experience with their hands. Specifically, one of the user&#39;s hands will be delineated as the dominant hand, while the other hand will be delineated as the non-dominant hand &hellip;"
WO2026054967A1,application,Tier 1 — Core Spectacles,Head-worn interaction, Non-dominant hand gestures to control microphone input on head-wearable device,Snap Inc.,snap_filed,2024-09-09,2025-08-18,2026-03-12,,,https://patents.google.com/patent/WO2026054967A1/en,"A head-wearable device may provide an extended Reality (XR) experience that allows the user to control certain aspects of the experience with their hands. Specifically, one of the user&#39;s hands will be delineated as the dominant hand, while the other hand will be delineated as the non-dominant hand &hellip;"
CN113874813B,grant,Tier 1 — Core Spectacles,Wearable connectivity & location, Wearable Device Location Accuracy System,斯纳普公司,snap_filed,2019-05-30,2020-05-29,2024-10-01,2024-10-01,https://patentimages.storage.googleapis.com/4c/67/ea/86f04abc8575e9/CN113874813B.pdf,https://patents.google.com/patent/CN113874813B/en,"Client companion device 314 may also be any device described herein that accesses a network via another device, such as client device 310. Client companion device 314 includes image sensor 316, wireless input and output (I/O) 317, and elements of location system 360 (for example, to <b>assign</b> general &hellip;"
CN115474153B,grant,Tier 1 — Core Spectacles,Wearable connectivity & location, Wearable device location system architecture,斯纳普公司,snap_filed,2019-05-30,2020-05-29,2025-08-01,2025-08-01,,https://patents.google.com/patent/CN115474153B/en,"Client companion device 314 may also be any device described herein that accesses a network via another device, such as client device 310. Client companion device 314 includes image sensor 316, wireless input and output (I/O) 317, and elements of location system 360 (for example, to <b>assign</b> general &hellip;"
CN120583372A,application,Tier 1 — Core Spectacles,Wearable connectivity & location, Wearable device location system architecture,斯纳普公司,snap_filed,2019-05-30,2020-05-29,2025-09-02,,,https://patents.google.com/patent/CN120583372A/en,"Client companion device 314 may also be any device described herein that accesses a network via another device, such as client device 310. Client companion device 314 includes image sensor 316, wireless input and output (I/O) 317, and elements of location system 360 (for example, to <b>assign</b> general &hellip;"
